Scenario ID,sCFR MAE_RT,sCFR MCIW_RT,sCFR MCIC_RT,sCFR MAE_RCF,sCFR MCIW_RCF,sCFR MCIC_RCF,ITS MAE_RT,ITS MCIW_RT,ITS MCIC_RT,ITS MAE_RCF,ITS MCIW_RCF,ITS MCIC_RCF,cCFR MAE_RT,cCFR MCIW_RT,cCFR MCIC_RT,aCFR MAE_RT,aCFR MCIW_RT,aCFR MCIC_RT
S01,0.0017 (0.0001),0.0120 (0.0120),0.79 (0.29),0.0017 (0.0001),0.0120 (0.0120),0.79 (0.29),0.0018 (0.0000),0.0013 (0.0004),0.22 (0.06),0.0018 (0.0000),0.0013 (0.0004),0.22 (0.06),0.0056 (0.0001),0.0007 (0.0000),0.03 (0.00),0.0021 (0.0002),0.0021 (0.0009),0.21 (0.04)
S02,0.0014 (0.0001),0.0083 (0.0002),0.97 (0.02),0.0020 (0.0004),0.0158 (0.0088),0.94 (0.07),0.0013 (0.0001),0.0012 (0.0001),0.29 (0.03),0.0030 (0.0003),0.0014 (0.0001),0.16 (0.00),0.0060 (0.0002),0.0007 (0.0000),0.03 (0.01),0.0031 (0.0001),0.0021 (0.0006),0.18 (0.06)
S03,0.0014 (0.0000),0.0071 (0.0043),0.89 (0.16),0.0117 (0.0127),0.0369 (0.0417),0.89 (0.16),0.0016 (0.0004),0.0016 (0.0005),0.30 (0.16),0.0029 (0.0013),0.0031 (0.0019),0.32 (0.06),0.0057 (0.0000),0.0007 (0.0000),0.03 (0.01),0.0033 (0.0000),0.0018 (0.0000),0.17 (0.01)
S04,0.0016 (0.0001),0.0074 (0.0042),0.86 (0.18),0.0016 (0.0001),0.0074 (0.0042),0.86 (0.18),0.0016 (0.0001),0.0014 (0.0003),0.27 (0.02),0.0016 (0.0001),0.0014 (0.0003),0.27 (0.02),0.0080 (0.0002),0.0008 (0.0000),0.01 (0.00),0.0059 (0.0005),0.0021 (0.0002),0.12 (0.02)
S05,0.0015 (0.0000),0.0085 (0.0032),0.97 (0.03),0.0018 (0.0001),0.0109 (0.0026),0.97 (0.02),0.0016 (0.0001),0.0014 (0.0001),0.26 (0.02),0.0024 (0.0002),0.0018 (0.0002),0.20 (0.07),0.0096 (0.0000),0.0008 (0.0000),0.02 (0.01),0.0074 (0.0001),0.0020 (0.0001),0.12 (0.02)
S06,0.0013 (0.0001),0.0094 (0.0003),0.99 (0.00),0.0021 (0.0006),0.0156 (0.0049),0.98 (0.02),0.0013 (0.0001),0.0011 (0.0005),0.29 (0.14),0.0026 (0.0001),0.0017 (0.0018),0.20 (0.20),0.0096 (0.0001),0.0008 (0.0000),0.03 (0.00),0.0079 (0.0002),0.0023 (0.0008),0.11 (0.01)
S07,0.0015 (0.0000),0.0080 (0.0021),0.96 (0.02),0.0015 (0.0000),0.0080 (0.0021),0.96 (0.02),0.0014 (0.0000),0.0015 (0.0001),0.34 (0.06),0.0014 (0.0000),0.0015 (0.0001),0.34 (0.06),0.0100 (0.0001),0.0007 (0.0000),0.00 (0.00),0.0071 (0.0003),0.0022 (0.0004),0.09 (0.00)
S08,0.0015 (0.0002),0.0079 (0.0006),0.95 (0.02),0.0018 (0.0000),0.0130 (0.0023),0.97 (0.02),0.0030 (0.0004),0.0022 (0.0001),0.21 (0.04),0.0092 (0.0002),0.0075 (0.0001),0.12 (0.02),0.0116 (0.0004),0.0007 (0.0000),0.02 (0.00),0.0090 (0.0008),0.0016 (0.0002),0.04 (0.00)
S09,0.0015 (0.0001),0.0053 (0.0007),0.84 (0.03),0.0024 (0.0007),0.0100 (0.0026),0.89 (0.03),0.0019 (0.0004),0.0016 (0.0002),0.28 (0.09),0.0029 (0.0002),0.0035 (0.0005),0.30 (0.02),0.0119 (0.0000),0.0007 (0.0000),0.01 (0.00),0.0093 (0.0001),0.0023 (0.0007),0.09 (0.05)
S10,0.0014 (0.0001),0.0111 (0.0020),1.00 (0.00),0.0014 (0.0001),0.0111 (0.0020),1.00 (0.00),0.0015 (0.0002),0.0015 (0.0001),0.34 (0.00),0.0015 (0.0002),0.0015 (0.0001),0.34 (0.00),0.0109 (0.0002),0.0006 (0.0000),0.00 (0.00),0.0090 (0.0001),0.0013 (0.0001),0.14 (0.01)
S11,0.0018 (0.0007),0.0072 (0.0070),0.66 (0.48),0.0282 (0.0311),0.0313 (0.0246),0.58 (0.59),0.0017 (0.0002),0.0018 (0.0000),0.36 (0.00),0.0030 (0.0012),0.0037 (0.0007),0.35 (0.01),0.0113 (0.0000),0.0006 (0.0000),0.00 (0.00),0.0095 (0.0000),0.0016 (0.0005),0.15 (0.01)
S12,0.0012 (0.0000),0.0145 (0.0013),1.00 (0.00),0.0023 (0.0005),0.0189 (0.0015),1.00 (0.00),0.0016 (0.0000),0.0011 (0.0000),0.19 (0.00),0.0038 (0.0001),0.0012 (0.0001),0.11 (0.04),0.0100 (0.0000),0.0006 (0.0000),0.00 (0.00),0.0082 (0.0000),0.0020 (0.0000),0.15 (0.02)
